title,year,source,url
High Fidelity,2000,Wikipedia,https://en.wikipedia.org/wiki/High_Fidelity_(film)
Highlander: Endgame,2000,Wikipedia,https://en.wikipedia.org/wiki/Highlander:_Endgame
Hollow Man,2000,Wikipedia,https://en.wikipedia.org/wiki/Hollow_Man
How the Grinch Stole Christmas,2000,Wikipedia,https://en.wikipedia.org/wiki/How_the_Grinch_Stole_Christmas_(2000_film)
I Dreamed of Africa,2000,Wikipedia,https://en.wikipedia.org/wiki/I_Dreamed_of_Africa
If These Walls Could Talk 2,2000,Wikipedia,https://en.wikipedia.org/wiki/If_These_Walls_Could_Talk_2
Into the Arms of Strangers: Stories of the Kindertransport,2000,Wikipedia,https://en.wikipedia.org/wiki/Into_the_Arms_of_Strangers:_Stories_of_the_Kindertransport
Isn't She Great,2000,Wikipedia,https://en.wikipedia.org/wiki/Isn%27t_She_Great
Joe Gould's Secret,2000,Wikipedia,https://en.wikipedia.org/wiki/Joe_Gould%27s_Secret_(film)
Joseph: King of Dreams,2000,Wikipedia,https://en.wikipedia.org/wiki/Joseph:_King_of_Dreams
Keeping the Faith,2000,Wikipedia,https://en.wikipedia.org/wiki/Keeping_the_Faith
Leprechaun in the Hood,2000,Wikipedia,https://en.wikipedia.org/wiki/Leprechaun_in_the_Hood
Little Nicky,2000,Wikipedia,https://en.wikipedia.org/wiki/Little_Nicky
Loser,2000,Wikipedia,https://en.wikipedia.org/wiki/Loser_(2000_film)
Lost Souls,2000,Wikipedia,https://en.wikipedia.org/wiki/Lost_Souls_(2000_film)
Love & Basketball,2000,Wikipedia,https://en.wikipedia.org/wiki/Love_%26_Basketball
Loving Jezebel,2000,Wikipedia,https://en.wikipedia.org/wiki/Loving_Jezebel
Lucky Numbers,2000,Wikipedia,https://en.wikipedia.org/wiki/Lucky_Numbers
MVP: Most Valuable Primate,2000,Wikipedia,https://en.wikipedia.org/wiki/MVP:_Most_Valuable_Primate
"Me, Myself & Irene",2000,Wikipedia,"https://en.wikipedia.org/wiki/Me,_Myself_%26_Irene"
Meet the Parents,2000,Wikipedia,https://en.wikipedia.org/wiki/Meet_the_Parents
Men of Honor,2000,Wikipedia,https://en.wikipedia.org/wiki/Men_of_Honor
Mercy Streets,2000,Wikipedia,https://en.wikipedia.org/wiki/Mercy_Streets
Michael Jordan to the Max,2000,Wikipedia,https://en.wikipedia.org/wiki/Michael_Jordan_to_the_Max
Mission to Mars,2000,Wikipedia,https://en.wikipedia.org/wiki/Mission_to_Mars
Mission: Impossible 2,2000,Wikipedia,https://en.wikipedia.org/wiki/Mission:_Impossible_2
My Dog Skip,2000,Wikipedia,https://en.wikipedia.org/wiki/My_Dog_Skip_(film)
Next Friday,2000,Wikipedia,https://en.wikipedia.org/wiki/Next_Friday
Nurse Betty,2000,Wikipedia,https://en.wikipedia.org/wiki/Nurse_Betty
Nutty Professor II: The Klumps,2000,Wikipedia,https://en.wikipedia.org/wiki/Nutty_Professor_II:_The_Klumps
Panic,2000,Wikipedia,https://en.wikipedia.org/wiki/Panic_(2000_film)
Passion of Mind,2000,Wikipedia,https://en.wikipedia.org/wiki/Passion_of_Mind
Pay It Forward,2000,Wikipedia,https://en.wikipedia.org/wiki/Pay_It_Forward_(film)
Pitch Black,2000,Wikipedia,https://en.wikipedia.org/wiki/Pitch_Black_(film)
Play It to the Bone,2000,Wikipedia,https://en.wikipedia.org/wiki/Play_It_to_the_Bone
Pokémon: The Movie 2000,2000,Wikipedia,https://en.wikipedia.org/wiki/Pok%C3%A9mon:_The_Movie_2000
Price of Glory,2000,Wikipedia,https://en.wikipedia.org/wiki/Price_of_Glory
Quills,2000,Wikipedia,https://en.wikipedia.org/wiki/Quills_(film)
Ready to Rumble,2000,Wikipedia,https://en.wikipedia.org/wiki/Ready_to_Rumble
Red Planet,2000,Wikipedia,https://en.wikipedia.org/wiki/Red_Planet_(film)
Reindeer Games,2000,Wikipedia,https://en.wikipedia.org/wiki/Reindeer_Games
Remember the Titans,2000,Wikipedia,https://en.wikipedia.org/wiki/Remember_the_Titans
Requiem for a Dream,2000,Wikipedia,https://en.wikipedia.org/wiki/Requiem_for_a_Dream
Return to Me,2000,Wikipedia,https://en.wikipedia.org/wiki/Return_to_Me
Road Trip,2000,Wikipedia,https://en.wikipedia.org/wiki/Road_Trip_(2000_film)
Romeo Must Die,2000,Wikipedia,https://en.wikipedia.org/wiki/Romeo_Must_Die
Rugrats in Paris: The Movie,2000,Wikipedia,https://en.wikipedia.org/wiki/Rugrats_in_Paris:_The_Movie
Rules of Engagement,2000,Wikipedia,https://en.wikipedia.org/wiki/Rules_of_Engagement_(film)
Scary Movie,2000,Wikipedia,https://en.wikipedia.org/wiki/Scary_Movie
Scooby-Doo and the Alien Invaders,2000,Wikipedia,https://en.wikipedia.org/wiki/Scooby-Doo_and_the_Alien_Invaders
Scream 3,2000,Wikipedia,https://en.wikipedia.org/wiki/Scream_3
Screwed,2000,Wikipedia,https://en.wikipedia.org/wiki/Screwed_(2000_film)
Shaft,2000,Wikipedia,https://en.wikipedia.org/wiki/Shaft_(2000_film)
Shanghai Noon,2000,Wikipedia,https://en.wikipedia.org/wiki/Shanghai_Noon
Simpatico,2000,Wikipedia,https://en.wikipedia.org/wiki/Simpatico_(film)
Small Time Crooks,2000,Wikipedia,https://en.wikipedia.org/wiki/Small_Time_Crooks
Snatch,2000,Wikipedia,https://en.wikipedia.org/wiki/Snatch_(film)
Snow Day,2000,Wikipedia,https://en.wikipedia.org/wiki/Snow_Day_(2000_film)
Space Cowboys,2000,Wikipedia,https://en.wikipedia.org/wiki/Space_Cowboys
Sunset Strip,2000,Wikipedia,https://en.wikipedia.org/wiki/Sunset_Strip_(2000_film)
Supernova,2000,Wikipedia,https://en.wikipedia.org/wiki/Supernova_(2000_film)
The 6th Day,2000,Wikipedia,https://en.wikipedia.org/wiki/The_6th_Day
The Adventures of Rocky and Bullwinkle,2000,Wikipedia,https://en.wikipedia.org/wiki/The_Adventures_of_Rocky_and_Bullwinkle_(film)
The Art of War,2000,Wikipedia,https://en.wikipedia.org/wiki/The_Art_of_War_(film)
The Beach,2000,Wikipedia,https://en.wikipedia.org/wiki/The_Beach_(film)
The Big Kahuna,2000,Wikipedia,https://en.wikipedia.org/wiki/The_Big_Kahuna_(film)
The Big Tease,2000,Wikipedia,https://en.wikipedia.org/wiki/The_Big_Tease
The Boondock Saints,2000,Wikipedia,https://en.wikipedia.org/wiki/The_Boondock_Saints
The Broken Hearts Club: A Romantic Comedy,2000,Wikipedia,https://en.wikipedia.org/wiki/The_Broken_Hearts_Club:_A_Romantic_Comedy
The Cell,2000,Wikipedia,https://en.wikipedia.org/wiki/The_Cell_(film)
The Contender,2000,Wikipedia,https://en.wikipedia.org/wiki/The_Contender_(2000_film)
The Crew,2000,Wikipedia,https://en.wikipedia.org/wiki/The_Crew_(2000_film)
The Exorcist: The Version You've Never Seen,2000,Wikipedia,https://en.wikipedia.org/wiki/The_Exorcist
The Extreme Adventures of Super Dave,2000,Wikipedia,https://en.wikipedia.org/wiki/The_Extreme_Adventures_of_Super_Dave
The Fantasticks,2000,Wikipedia,https://en.wikipedia.org/wiki/The_Fantasticks_(film)
